Column1,player_szn,RK,PLAYER,YEAR,OFF,RB,RBR,RAR,RAAO,WAAO,WAAWPO,TRPG,Rk.1,Player.1,OPS.,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,X1B,X2B,X3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS._2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player.additional,comb_rnk
33,Jason Giambi-2001,89,Jason Giambi,2001,8.7,77,-0.1,94.1,65.3,6.3,0.5,5.3,56,Jason Giambi,199,671,2001,30,OAK,AL,154,671,520,109,178,91,47,2,38,120,2,0,129,83,0.342,0.477,0.66,1.137,199,343,17,13,0,9,24,*3D/H,giambja01,145
34,Jimmie Foxx-1932,28,Jimmie Foxx,1932,10,91.7,-1.5,114.5,84,7.6,0.5,5.8,32,Jimmie Foxx,207,702,1932,24,PHA,AL,154,702,585,151,213,113,33,9,58,169,3,7,116,96,0.364,0.469,0.749,1.218,207,438,NA,0,0,NA,10,*35,foxxji01,60
35,Jimmie Foxx-1933,55,Jimmie Foxx,1933,9.2,80.1,0.6,98.4,73.8,6.9,0.5,5.5,48,Jimmie Foxx,201,670,1933,25,PHA,AL,149,670,573,125,204,110,37,9,48,163,2,2,96,93,0.356,0.449,0.703,1.153,201,403,NA,1,0,NA,9,*3/6,foxxji01,103
36,Jimmie Foxx-1934,117,Jimmie Foxx,1934,8.3,69.4,1.8,97.2,64.8,5.9,0.5,5.6,120,Jimmie Foxx,186,652,1934,26,PHA,AL,150,652,539,120,180,102,28,6,44,130,11,2,111,75,0.334,0.449,0.653,1.102,186,352,NA,1,1,NA,17,*3/5H,foxxji01,237
37,Joe DiMaggio-1941,117,Joe DiMaggio,1941,8.3,66.1,0.5,94.1,65.2,6.3,0.5,5.2,134,Joe DiMaggio,185,622,1941,26,NYY,AL,139,622,541,122,193,109,43,11,30,125,4,2,76,13,0.357,0.44,0.643,1.083,185,348,6,4,0,NA,21,*8,dimagjo01,251
38,Joe Jackson-1911,103,Joe Jackson,1911,8.5,70.1,-0.7,91.4,62.9,6.2,0.5,5,76,Joe Jackson,193,641,1911,23,CLE,AL,147,641,571,126,233,162,45,19,7,83,41,NA,56,42,0.408,0.468,0.59,1.058,193,337,NA,8,6,NA,NA,*98,jacksjo01,179
39,Joe Jackson-1912,69,Joe Jackson,1912,8.9,69.3,1.6,94,63.5,6.3,0.5,4.9,86,Joe Jackson,191,653,1912,24,CLE,AL,154,653,572,121,226,153,44,26,3,90,35,20,54,19,0.395,0.458,0.579,1.036,191,331,NA,12,15,NA,NA,*98/H,jacksjo01,155
40,Joe Medwick-1937,125,Joe Medwick,1937,8.2,66.7,0,84.1,59.4,5.9,0.5,4.9,154,Joe Medwick,182,677,1937,25,STL,NL,156,677,633,111,237,140,56,10,31,154,4,5,41,50,0.374,0.414,0.641,1.056,182,406,11,2,1,NA,13,*7,medwijo01,279
41,Joe Morgan-1976,39,Joe Morgan,1976,9.7,57.1,9.6,91.4,73,7.8,0.6,4.5,114,Joe Morgan,187,599,1976,32,CIN,NL,141,599,472,113,151,89,30,5,27,111,60,9,114,41,0.32,0.444,0.576,1.02,187,272,2,1,0,12,8,*4H,morgajo02,153
42,Larry Walker-1997,69,Larry Walker,1997,8.9,69.6,6.6,101.7,72.1,6.9,0.5,5.1,194,Larry Walker,178,664,1997,30,COL,NL,153,664,568,143,208,109,46,4,49,130,33,8,78,90,0.366,0.452,0.72,1.172,178,409,15,14,0,4,14,*9/38HD,walkela01,263
43,Lou Gehrig-1927,9,Lou Gehrig,1927,11.3,102.7,-0.5,125.3,95,8.8,0.6,5.6,16,Lou Gehrig,220,717,1927,24,NYY,AL,155,717,584,149,218,101,52,18,47,173,10,10,109,84,0.373,0.474,0.765,1.24,220,447,NA,3,21,NA,9,*3,gehrilo01,25
44,Lou Gehrig-1928,69,Lou Gehrig,1928,8.9,77.4,-3.1,96.1,67.2,6.4,0.5,5.2,79,Lou Gehrig,193,678,1928,25,NYY,AL,154,678,562,139,210,123,47,13,27,147,4,11,95,69,0.374,0.467,0.648,1.115,193,364,NA,4,17,NA,3,*3,gehrilo01,148
45,Lou Gehrig-1930,31,Lou Gehrig,1930,9.9,95.3,-3.1,106.2,85,7.3,0.5,6,43,Lou Gehrig,203,703,1930,27,NYY,AL,154,703,581,143,220,120,42,17,41,173,12,14,101,63,0.379,0.473,0.721,1.194,203,419,NA,3,18,NA,3,*3/7,gehrilo01,74
46,Lou Gehrig-1931,45,Lou Gehrig,1931,9.5,85.1,-0.8,94.8,77.2,7,0.5,5.7,71,Lou Gehrig,194,738,1931,28,NYY,AL,155,738,619,163,211,119,31,15,46,185,17,12,117,56,0.341,0.446,0.662,1.108,194,410,NA,0,2,NA,14,*3/9,gehrilo01,116
47,Lou Gehrig-1934,22,Lou Gehrig,1934,10.2,92.7,0,114.1,85.6,7.8,0.6,5.7,33,Lou Gehrig,207,690,1934,31,NYY,AL,154,690,579,128,210,115,40,6,49,166,9,5,109,31,0.363,0.465,0.706,1.172,207,409,NA,2,0,NA,13,*3/6,gehrilo01,55
48,Lou Gehrig-1936,55,Lou Gehrig,1936,9.2,88.4,-0.7,105.4,80.4,6.9,0.5,6.3,88,Lou Gehrig,190,719,1936,33,NYY,AL,155,719,579,167,205,112,37,7,49,152,3,4,130,46,0.354,0.478,0.696,1.174,190,403,NA,7,3,NA,9,*3,gehrilo01,143
49,Mel Ott-1938,117,Mel Ott,1938,8.3,60.7,0.1,87.8,60.6,6,0.5,4.8,185,Mel Ott,178,654,1938,29,NYG,NL,150,654,527,116,164,99,23,6,36,116,2,4,118,47,0.311,0.442,0.583,1.024,178,307,8,5,2,NA,13,*59/H,ottme01,302
50,Mickey Mantle-1955,111,Mickey Mantle,1955,8.4,58.1,5.2,93.4,63.9,6.5,0.5,4.9,168,Mickey Mantle,180,638,1955,23,NYY,AL,147,638,517,121,158,85,25,11,37,99,8,1,113,97,0.306,0.431,0.611,1.042,180,316,4,3,2,3,6,*8/H6,mantlmi01,279
51,Mickey Mantle-1956,16,Mickey Mantle,1956,10.7,84.5,5.5,116.4,91.4,8.7,0.6,5.3,27,Mickey Mantle,210,652,1956,24,NYY,AL,150,652,533,132,188,109,22,5,52,130,10,1,112,99,0.353,0.464,0.705,1.169,210,376,4,2,1,4,6,*8/H,mantlmi01,43
52,Mickey Mantle-1957,9,Mickey Mantle,1957,11.3,84.2,6.4,111,91.1,9.3,0.6,4.8,14,Mickey Mantle,221,623,1957,25,NYY,AL,144,623,474,121,173,105,28,6,34,94,16,3,146,75,0.365,0.512,0.665,1.177,221,315,5,0,0,3,23,*8/H,mantlmi01,23
53,Mickey Mantle-1958,55,Mickey Mantle,1958,9.2,63.8,5.9,84.7,70.1,7.2,0.5,4.7,103,Mickey Mantle,188,654,1958,26,NYY,AL,150,654,519,127,158,94,21,1,42,97,18,3,129,120,0.304,0.443,0.592,1.035,188,307,11,2,2,2,13,*8,mantlmi01,158
54,Mickey Mantle-1961,18,Mickey Mantle,1961,10.6,80.1,6.3,108.9,88,8.6,0.6,5.1,36,Mickey Mantle,206,646,1961,29,NYY,AL,153,646,514,131,163,87,16,6,54,128,12,1,126,112,0.317,0.448,0.687,1.135,206,353,2,0,1,5,9,*8/H,mantlmi01,54
55,Mike Piazza-1997,69,Mike Piazza,1997,8.9,69.7,-2.1,90.5,73,7,0.5,5.1,130,Mike Piazza,185,633,1997,28,LAD,NL,152,633,556,104,201,128,32,1,40,124,5,1,69,77,0.362,0.431,0.638,1.07,185,355,19,3,0,5,11,*2/DH,piazzmi01,199
56,Mike Trout-2013,25,Mike Trout,2013,10.1,67.5,6.2,89,74.1,7.8,0.5,4.8,175,Mike Trout,179,716,2013,21,LAA,AL,157,716,589,109,190,115,39,9,27,97,33,7,110,136,0.323,0.432,0.557,0.988,179,328,8,9,0,8,10,*87/D,troutmi01,200
57,Mike Trout-2018,55,Mike Trout,2018,9.2,64.6,4.1,101,71.7,7.2,0.6,5.1,61,Mike Trout,198,608,2018,26,LAA,AL,140,608,471,101,147,80,24,4,39,79,24,2,122,124,0.312,0.46,0.628,1.088,198,296,5,10,0,4,25,*8D/H,troutmi01,116
58,Mookie Betts-2018,89,Mookie Betts,2018,8.7,64.8,6.2,107.5,66.8,6.7,0.5,5.1,116,Mookie Betts,186,614,2018,25,BOS,AL,136,614,520,129,180,96,47,5,32,80,30,6,81,91,0.346,0.438,0.64,1.078,186,333,5,8,0,5,8,*98/HD4,bettsmo01,205
59,Nap Lajoie-1904,42,Nap Lajoie,1904,9.6,58.9,0.1,75.8,61.9,7.2,0.6,4,52,Nap Lajoie,200,595,1904,29,CLE,AL,140,595,553,92,208,139,49,15,5,102,29,NA,27,19,0.376,0.413,0.546,0.959,200,302,NA,8,6,NA,NA,46/3,lajoina01,94
60,Nap Lajoie-1910,25,Nap Lajoie,1910,10.1,65.7,-2.2,87.5,63.3,7.3,0.5,4,63,Nap Lajoie,197,679,1910,35,CLE,AL,159,679,592,94,227,165,51,7,4,76,26,NA,60,18,0.383,0.444,0.514,0.958,197,304,NA,5,21,NA,NA,*43,lajoina01,88
61,Norm Cash-1961,103,Norm Cash,1961,8.5,76.4,-1.5,94.6,65.3,6.5,0.5,5,49,Norm Cash,201,673,1961,27,DET,AL,159,673,535,119,193,122,22,8,41,132,11,5,124,85,0.361,0.487,0.662,1.148,201,354,16,9,2,2,19,*3/H,cashno01,152
62,Reggie Jackson-1969,103,Reggie Jackson,1969,8.5,64,-0.6,88.2,57.9,6.3,0.5,4.5,100,Reggie Jackson,189,678,1969,23,OAK,AL,152,678,549,123,151,65,36,3,47,118,13,5,114,142,0.275,0.41,0.608,1.018,189,334,8,12,1,1,20,*98/H,jacksre01,203
63,Rickey Henderson-1990,117,Rickey Henderson,1990,8.3,60.7,6.1,96.1,59.4,6.3,0.5,4.8,94,Rickey Henderson,189,594,1990,31,OAK,AL,136,594,489,119,159,95,33,3,28,61,65,10,97,60,0.325,0.439,0.577,1.016,189,282,13,4,2,2,2,*7D/H,henderi01,211
64,Rod Carew-1977,69,Rod Carew,1977,8.9,63.8,6.9,96.6,65.1,6.6,0.5,5,192,Rod Carew,178,694,1977,31,MIN,AL,155,694,616,128,239,171,38,16,14,100,23,13,69,55,0.388,0.449,0.57,1.019,178,351,6,3,1,5,15,*3/H4D,carewro01,261
65,Rogers Hornsby-1920,67,Rogers Hornsby,1920,9,60.3,-1.3,87.5,62,6.8,0.5,4.3,128,Rogers Hornsby,185,660,1920,24,STL,NL,149,660,589,96,218,145,44,20,9,94,12,15,60,50,0.37,0.431,0.559,0.99,185,329,NA,3,8,NA,NA,*4,hornsro01,195
66,Rogers Hornsby-1921,31,Rogers Hornsby,1921,9.9,76.2,-0.5,109.4,79.1,7.8,0.6,5.1,85,Rogers Hornsby,191,674,1921,25,STL,NL,154,674,592,131,235,152,44,18,21,126,13,13,60,48,0.397,0.458,0.639,1.097,191,378,NA,7,15,NA,NA,*4/7563,hornsro01,116
